neo4j_id,name,type,reason
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3110,Alma 32:43,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3113,Ruth 2:3,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3116,John 2:20,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3119,Mark 2:8,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3120,Luke 5:22,period,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3126,Ezra 4:19,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3136,Titus 1:13,concept,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3138,Rev. 3:19,period,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3139,D&C 42:92,people,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3144,Luke 16:9.,person,scripture_ref
4:f01f28c5-336c-4f6e-b64e-8e9c88b426aa:3149,Luke 16:25,person,scripture_ref
